1.5,1.5,1.5,1,0,0,0
1.50007,1.49733,1.4989,0.999999,0.000335395,-0.000996101,-0.00027402
1.50198,1.49756,1.4985,0.999999,0.00053324,-0.00131568,-0.000343381
1.5026,1.49805,1.49822,0.999999,0.000554958,-0.00131758,0.000127239
1.50286,1.49804,1.49827,0.999999,0.000137946,-0.00126917,0.000908154
1.50318,1.49868,1.49819,0.999997,7.31425e-005,-0.00141228,0.00193033
1.50451,1.50016,1.49828,0.999995,-0.000968344,-0.00225971,0.0020939
1.50475,1.50008,1.49838,0.999994,-0.00177876,-0.00203394,0.00229509
1.50537,1.50066,1.4984,0.999992,-0.00217488,-0.00173517,0.00301809
1.50578,1.50061,1.49831,0.999991,-0.00259675,-0.00130251,0.00308493
1.50644,1.50108,1.49819,0.999991,-0.00281466,-0.00149579,0.00284464
1.5071,1.50148,1.49794,0.99999,-0.00315815,-0.00140587,0.00283124
1.50751,1.50195,1.49753,0.999989,-0.00355498,-0.000742659,0.00300605
1.50814,1.50243,1.49706,0.999986,-0.00385285,-0.000171109,0.00367036
1.50882,1.50305,1.49655,0.999982,-0.00415562,0.000254752,0.00433517
1.50942,1.50334,1.49594,0.999978,-0.00469167,0.000687986,0.00466659
1.5101,1.50367,1.49537,0.999975,-0.00508391,0.000535722,0.00483285
1.51042,1.50443,1.49448,0.99997,-0.00519108,0.000827698,0.00571194
1.51113,1.50494,1.49356,0.999964,-0.00554198,0.0012547,0.00624284
1.51157,1.50542,1.49233,0.999959,-0.00581074,0.00235804,0.00645876
1.51242,1.50573,1.49122,0.999953,-0.00597412,0.00352416,0.00673772
1.51328,1.50647,1.48989,0.999947,-0.00604813,0.00464898,0.00685951
1.51404,1.50765,1.48857,0.999941,-0.00615005,0.00548518,0.00706443
1.51414,1.50786,1.48757,0.999923,-0.00651844,0.00656404,0.00821757
1.51507,1.51011,1.48601,0.999911,-0.00611695,0.00732018,0.00935632
1.51554,1.51195,1.4848,0.999883,-0.00679092,0.00915838,0.0102121
1.51582,1.51263,1.48367,0.99984,-0.00797453,0.0115625,0.0110796
1.51601,1.51317,1.48256,0.999792,-0.00845435,0.0137239,0.0124727
1.51626,1.51345,1.4814,0.99976,-0.00844021,0.0152119,0.0133279
1.51644,1.51439,1.48018,0.999721,-0.0080292,0.0171936,0.0140612
1.51673,1.51516,1.47913,0.999665,-0.00783921,0.0195294,0.0150837
